ID,encounter_sc,pa_personal_sc,pa_social_sc,pa_care_sc,ThemeA_sc,ThemeI_sc,ThemeE_sc,ThemeN_sc
1,0.394462433,5,5,5,3.75,1.25,0,0
2,0.295572416,2.8125,3.333333333,2.5,0,5,0,0
3,0.013720432,3.4375,3.75,3.75,0,3.333333334,1.666666667,0
4,0.012073981,4.375,3.333333333,5,3,2,0,0
5,0.592242467,3.4375,3.75,3.75,2.5,2.5,0,0
7,0.014337852,2.5,0.833333333,1.25,0,3.75,1.25,0
8,0.040063663,3.75,2.916666667,2.5,1.25,3.75,0,0
9,0.038417211,3.125,1.666666667,5,1,3,0,1
10,0.040063663,4.375,2.083333333,3.75,2.5,1.25,1.25,0
11,0.091515285,4.375,5,3.75,0,5,0,0
12,0.394462433,3.75,3.75,5,0,2.5,2.5,0
13,0.256160474,5,5,5,1.666666667,3.333333334,0,0
14,0.001372043,2.5,2.083333333,2.5,1.666666667,1.666666667,1.666666667,0
15,0.025273037,5,5,5,0.833333334,3.333333334,0.833333334,0
16,0.658169145,4.375,3.75,3.75,0,5,0,0
17,0.196682399,3.75,4.166666667,3.75,1.666666667,3.333333334,0,0
18,0.053784095,4.375,4.166666667,5,1,3,0,1
19,0.045208825,2.5,1.25,1.25,0,5,0,0
20,0.08122496,4.6875,3.333333333,3.75,2.5,2.5,0,0
22,0.025245596,4.0625,3.333333333,3.75,2,2,1,0
23,0.191845947,5,4.166666667,5,0,5,0,0
24,0.451031777,2.5,2.083333333,1.25,3.75,1.25,0,0
25,0.006311399,2.5,1.25,1.25,1.666666667,1.666666667,1.666666667,0
26,0.262609077,4.6875,5,5,1.666666667,3.333333334,0,0
27,0.016464519,5,2.916666667,5,0,3.75,1.25,0
28,5,0,0,0,0,3.333333334,1.666666667,0
29,0.005488173,5,2.083333333,5,2.5,2.5,0,0
30,0.00919269,4.6875,1.25,2.5,0,3.333333334,1.666666667,0
31,0.262609077,4.0625,4.583333333,5,1.25,2.5,1.25,0
32,0.24587015,4.6875,3.333333333,3.75,1,3,1,0
33,0.001097635,2.5,2.916666667,2.5,3.333333334,0,1.666666667,0
34,0.091515285,5,2.916666667,5,1.666666667,3.333333334,0,0
35,0.004390538,5,3.333333333,3.75,1.25,1.25,2.5,0
36,0.24587015,3.75,2.5,3.75,2.5,2.5,0,0
37,0.053784095,5,2.916666667,5,0,3.333333334,1.666666667,0
38,0.029773338,5,3.333333333,5,1.666666667,2.5,0.833333334,0
39,0.000754624,4.0625,2.083333333,2.5,1.666666667,3.333333334,0,0
40,0.08122496,4.0625,3.75,3.75,0.833333334,2.5,1.666666667,0
41,0.24587015,3.4375,2.916666667,2.5,0,5,0,0
42,0.045208825,0,2.5,1.25,0,3.333333334,1.666666667,0
43,0.196682399,4.6875,5,5,1.5,1.5,1.5,0.5
44,0.08122496,3.75,3.333333333,3.75,1.666666667,3.333333334,0,0
45,0.12753142,0.3125,0.833333333,0,0.833333334,3.333333334,0.833333334,0
46,0.064829043,5,3.75,3.75,0,2.5,2.5,0
47,0.394462433,5,5,5,0.5,1.7,1.9,0.9
48,0.790022502,3.75,3.75,3.75,0.666666667,2.333333334,1.666666667,0.333333333
49,0.153257231,2.1875,1.666666667,2.5,0,2.5,2.5,0
50,0.060644312,4.6875,3.75,5,0,1.666666667,3.333333334,0
51,0.32613468,3.75,3.75,3.75,1.25,2.5,1.25,0
52,0.24587015,4.0625,4.583333333,3.75,1.666666667,3.333333334,0,0
53,0.040063663,3.4375,2.5,5,0,5,0,0
54,0.130755721,5,5,5,1,4,0,0
55,0.163547555,3.4375,2.083333333,3.75,1.25,2.5,1.25,0
57,0.394462433,2.5,2.083333333,2.5,0.833333334,3.333333334,0.833333334,0
58,0.394462433,5,3.75,5,1.071428572,2.678571429,0.357142857,0.892857143
59,1.053729214,5,5,5,0,2.5,2.5,0
60,0.298968223,5,3.75,5,1.25,2.5,1.25,0
61,0.503128259,0,0.416666667,0,2.307692308,0.384615385,1.923076923,0.384615385
62,0.084655068,5,4.166666667,5,1.666666667,1.666666667,1.666666667,0
63,0.091515285,3.4375,0.416666667,1.25,0,2.5,2.5,0
64,0.063216893,5,4.166666667,5,0.833333334,2.5,1.666666667,0
65,0.348313759,4.6875,3.75,5,1.666666667,2.5,0.833333334,0
66,0.256160474,5,2.916666667,3.75,0,3.75,1.25,0
67,0.184128204,4.0625,3.333333333,2.5,1.25,1.25,1.25,1.25
68,0.0285385,4.375,4.583333333,5,0,5,0,0
69,0.005419571,3.4375,3.75,3.75,5,0,0,0
70,0.006585808,5,4.583333333,5,0,5,0,0
72,0.003292904,3.4375,3.333333333,3.75,1.25,1.25,1.25,1.25
73,0.005488173,2.1875,1.666666667,1.25,3.333333334,1.666666667,0,0
74,0.369354042,3.4375,2.916666667,2.5,1.805555556,0.972222222,1.527777778,0.694444445
75,0.006620109,3.125,2.5,3.75,1.666666667,3.333333334,0,0
76,0.00919269,2.8125,2.5,3.75,1.666666667,3.333333334,0,0
77,1.581142638,5,3.75,3.75,1,2,2,0
78,0.068362055,5,5,5,2.5,2.5,0,0
79,0.058174634,5,5,5,0.714285715,2.857142857,1.428571429,0
80,0.029773338,5,4.583333333,5,1,2,2,0
81,0.008781077,2.1875,1.666666667,3.75,0,0,1.25,3.75
82,0.005488173,3.75,3.333333333,3.75,2.5,1.25,0,1.25
83,0.163547555,2.1875,3.75,5,3.333333334,1.666666667,0,0
84,0.08122496,1.5625,0.416666667,2.5,1.666666667,3.333333334,0,0
85,0.592242467,0,3.75,1.25,0,5,0,0
86,0.014029142,3.75,1.25,3.75,0.714285715,2.857142857,1.428571429,0
87,0.008986883,4.375,2.916666667,5,2.5,2.5,0,0
88,0.008781077,2.5,1.666666667,3.75,2.5,2.5,0,0
89,0.012073981,2.5,2.083333333,2.5,0,2.5,2.5,0
90,0.196682399,4.0625,3.333333333,5,1,3,1,0
91,0.08122496,4.375,4.166666667,5,0,3.333333334,1.666666667,0
92,0.025245596,5,4.583333333,5,1.904761905,1.30952381,0.476190476,1.30952381
93,0.163547555,4.6875,2.5,5,1.666666667,3.333333334,0,0
94,3.16338291,4.375,3.75,5,0,5,0,0
95,0.394462433,0,0,0,2.5,1.875,0,0.625
96,0.361499094,2.5,2.083333333,2.5,2.142857143,2.142857143,0.714285715,0
97,0.018659788,3.75,0.833333333,3.75,1.666666667,1.666666667,0,1.666666667
98,0.49335245,4.6875,3.75,5,1.25,2.5,1.25,0
99,0.100762856,5,4.166666667,5,0.555555556,1.111111111,3.333333334,0
100,0.276741123,5,5,5,0.555555556,2.222222222,2.222222222,0
101,0.451031777,2.5,2.5,2.5,0,3.333333334,1.666666667,0
102,0.033203447,5,3.333333333,5,1.25,3.75,0,0
103,0.191845947,3.75,2.083333333,5,0,3.75,0,1.25
104,0.060644312,0,1.25,0,0,2.5,2.5,0
105,0.657483124,3.75,3.75,3.75,0,4,1,0
106,0.276741123,3.4375,2.916666667,1.25,1.25,2.5,1.25,0
107,0.064760441,5,3.75,5,0,1.25,1.25,2.5
108,0.02634323,3.4375,3.75,5,0,5,0,0
109,0.019071401,2.5,3.75,5,0,5,0,0
110,0.394462433,5,3.75,5,1.666666667,2.5,0.833333334,0
111,0.12753142,2.5,2.5,2.5,1.25,3.75,0,0
112,0.068362055,0,0.833333333,1.25,1.25,3.75,0,0
113,0.124163054,2.1875,2.5,3.75,0,5,0,0
114,0.369354042,3.75,3.75,3.75,0,5,0,0
115,0.051588826,5,5,5,0,3.75,1.25,0
116,0.42766588,5,5,5,1.428571429,1.428571429,2.142857143,0
117,0.599034082,5,5,5,1,3,1,0
118,0.058174634,4.375,4.583333333,3.75,1.666666667,3.333333334,0,0
119,0.191845947,5,5,5,1,3,1,0
120,0.341913177,5,3.333333333,3.75,0,5,0,0
121,0.005488173,3.4375,1.666666667,3.75,1,2,2,0
122,0.045208825,2.5,1.666666667,2.5,0,5,0,0
123,0.262609077,5,4.583333333,5,0,3.333333334,1.666666667,0
124,0.235991438,4.0625,3.333333333,3.75,1.25,3.75,0,0
125,0.006311399,1.5625,1.25,3.75,1.666666667,3.333333334,0,0
126,0.369354042,4.6875,2.5,5,1.25,3.75,0,0
127,0.002195269,3.75,4.166666667,5,2.5,2.5,0,0
129,3.16338291,5,5,5,1.666666667,3.333333334,0,0
130,0.24587015,5,3.75,5,1,2,2,0
131,0.148969596,5,5,5,1.25,2.5,1.25,0
132,0.394462433,3.75,3.75,3.75,1.25,1.25,2.5,0
133,0.592242467,5,5,5,1.176470588,2.05882353,0.588235294,1.176470588
134,0.051588826,4.0625,4.583333333,2.5,0,3.75,1.25,0
135,0.394462433,5,4.166666667,5,1.25,3.75,0,0
136,0.12753142,5,3.75,5,1,2,2,0
137,0.196682399,3.75,3.75,3.75,2,3,0,0
138,0.295572416,1.5625,0.416666667,2.5,1.666666667,3.333333334,0,0
140,0.005488173,1.25,0,5,1.034482759,2.068965517,0.51724138,1.379310345
141,0.025245596,3.75,2.916666667,1.25,2.5,2.5,0,0
142,0.592242467,5,5,5,1.25,1.25,2.5,0
143,0.108665825,5,3.75,5,1.25,2.5,1.25,0
144,0.394462433,5,4.583333333,5,2.5,2.5,0,0
145,0.196682399,5,5,5,3.333333334,1.666666667,0,0
146,0.434388892,5,5,5,1.666666667,1.666666667,1.666666667,0
147,0.414240437,5,5,5,0,5,0,0
148,0,3.75,3.333333333,5,1,3,0,1
149,0.17671917,5,5,5,1,3,1,0
150,0.001372043,4.375,3.333333333,5,1.25,3.75,0,0
151,0.163547555,4.0625,3.75,5,1.428571429,2.142857143,1.428571429,0
152,0.196682399,5,5,5,1.666666667,1.666666667,1.666666667,0
153,0.102628835,3.75,1.25,2.5,1,3,0,1
154,0.592242467,4.6875,2.5,2.5,0,4,1,0
156,0.002332474,2.1875,0.833333333,2.5,1.666666667,3.333333334,0,0
157,0.000548817,5,5,5,0,3.333333334,1.666666667,0
159,0.394462433,3.4375,2.916666667,3.75,0.714285715,2.142857143,2.142857143,0
160,0.019071401,5,4.583333333,5,0.972222222,2.5,0.416666667,1.111111111
161,0.000782065,1.25,1.25,2.5,0,5,0,0
162,0.019483014,4.6875,3.75,3.75,1.25,1.25,2.5,0